title,challenge_text,display_text,invocation_timestamp,iteration_num,gold_query_text,generated_sql_query_text,generated_semantic_query_text,gold_query_df,generated_sql_df,generated_semantic_df,is_sql_result_equivalent,is_semantic_result_equivalent,sql_comparison_exception,semantic_comparison_exception
HQLS: Claim - Loss Payment&Loss Reserve,"What is the total loss amounts, which is the sum of loss payment, loss reserve amount by claim number?","What is the total loss amounts, which is the sum
of loss payment, loss reserve amount by claim number?",1700621584.3270102,2,"SELECT
    company_claim_number,
    (ca_lp.claim_amount + ca_lr.claim_amount ) as LossAmount
FROM
    Claim
    inner join claim_amount ca_lp on claim.claim_identifier = ca_lp.claim_identifier
    inner JOIN loss_payment ON ca_lp.claim_amount_identifier = loss_payment.claim_amount_identifier
    inner join claim_amount ca_lr on claim.claim_identifier = ca_lr.claim_identifier
    inner JOIN loss_reserve ON ca_lr.claim_amount_identifier = loss_reserve.claim_amount_identifier
","SELECT 
    Claim.Claim_Identifier, 
    SUM(Loss_Payment.Claim_Amount) AS Total_Loss_Payment, 
    SUM(Loss_Reserve.Claim_Amount) AS Total_Loss_Reserve, 
    (SUM(Loss_Payment.Claim_Amount) + SUM(Loss_Reserve.Claim_Amount)) AS Total_Loss_Amount
FROM 
    Claim 
LEFT JOIN 
    Claim_Amount AS Loss_Payment ON Claim.Claim_Identifier = Loss_Payment.Claim_Identifier 
LEFT JOIN 
    Claim_Amount AS Loss_Reserve ON Claim.Claim_Identifier = Loss_Reserve.Claim_Identifier 
GROUP BY 
    Claim.Claim_Identifier;","select * from {{
    semantic_layer.query(metrics=['total_loss_amount'], 
    group_by=['claim_identifier__company_claim_number'])
    }}","   COMPANY_CLAIM_NUMBER  LOSSAMOUNT
0              12312701        2200
1              12312702        4400","   CLAIM_IDENTIFIER  TOTAL_LOSS_PAYMENT  TOTAL_LOSS_RESERVE  TOTAL_LOSS_AMOUNT
0                 1               18400               18400              36800
1                 2               36000               36000              72000","   CLAIM_IDENTIFIER__COMPANY_CLAIM_NUMBER  TOTAL_LOSS_AMOUNT
0                                12312701               2200
1                                12312702               4400",false,true,"""None of [Index(['COMPANY_CLAIM_NUMBER', 'LOSSAMOUNT'], dtype='object')] are in the [columns]""",
HQLS: What is the average time to settle a claim by policy number?,What is the average time to settle a claim by policy number?,"What is the average time to
settle a claim by policy number?",1700621625.7237844,2,"select policy_number, avg(DATE_DIFF(claim_open_date, claim_close_date, ""day""))
from claim 
inner join claim_coverage on claim.claim_identifier = claim_coverage.claim_identifier
inner join policy_coverage_detail on claim_coverage.policy_coverage_detail_identifier = policy_coverage_detail.policy_coverage_detail_identifier
inner join policy on policy.policy_identifier = policy_coverage_detail.policy_identifier
where claim_close_date IS NOT NULL
group by policy_number
","SELECT Policy_Number, AVG(DATEDIFF(day, Claim_Open_Date, Claim_Close_Date)) as Average_Settlement_Time
FROM Claim 
JOIN Policy ON Claim.Claim_Identifier = Policy.Policy_Identifier
WHERE Claim_Status_Code = 'CLOSED'
GROUP BY Policy_Number;","select * from {{
    semantic_layer.query(metrics=['avg_time_to_settle_claim'], 
    group_by=['policy__policy_number'])
}}","   POLICY_NUMBER  AVG(DATEDIFF(DAY, CLAIM_OPEN_DATE, CLAIM_CLOSE_DATE))
0    31003000336                                               20.5    ","Empty DataFrame
Columns: [POLICY_NUMBER, AVERAGE_SETTLEMENT_TIME]
Index: []","                                                                                                                                                                                                                                                                                                                                                                                                                 error
0  INVALID_ARGUMENT: [FlightSQL] Unable To Satisfy Query Error: Dimensions ['policy__policy_number'] cannot be resolved for metrics ['avg_time_to_settle_claim']. The invalid dimension may not exist, require an ambiguous join (e.g. a join path that can be satisfied in multiple ways), or require a fanout join.\n\nSuggestions for invalid dimension 'policy__policy_number':\n    [] (InvalidArgument; Prepare)",false,false,,
HQLS: Policy - Coverage - Premium,What is the average policy size which is the the total amount of premium divided by the number of policies?,"What is the average policy size which is the the
total amount of premium divided by the number of policies?",1700621658.5766232,2,"SELECT
    SUM(policy_amount)/COUNT(DISTINCT policy_number) AS avgPolicySize
FROM
   policy_coverage_detail 
    inner join policy on policy.policy_identifier = policy_coverage_detail.policy_identifier
    inner join policy_amount on policy_coverage_detail.policy_coverage_detail_identifier = policy_amount.policy_coverage_detail_identifier
    inner join premium on premium.policy_amount_identifier = policy_amount.policy_amount_identifier
","SELECT AVG(Total_Premium/Policy_Count) AS Average_Policy_Size
FROM
(
    SELECT SUM(Policy_Amount) AS Total_Premium, COUNT(DISTINCT Policy_Identifier) AS Policy_Count
    FROM Policy_Amount
    INNER JOIN Premium
    ON Policy_Amount.Policy_Amount_Identifier = Premium.Policy_Amount_Identifier
) AS SubQuery","select avg(total_policy_amount / number_of_policies) as avg_policy_size from {{
    semantic_layer.query(metrics=['total_policy_amount', 'number_of_policies'])
}}","  AVGPOLICYSIZE
0  49000.000000","  AVERAGE_POLICY_SIZE
0  49000.000000000000","        AVG_POLICY_SIZE
0  2849000.000000000000",true,false,,"""None of [Index(['AVGPOLICYSIZE'], dtype='object')] are in the [columns]"""
HQLS: Policy - Agent,How many policies have agents sold by agent id?,"How many policies have
agents sold by agent id?",1700621695.6867638,2,"select  party_identifier as agentid, count(policy.policy_number) as NoOfPolicies
from agreement_party_role
join policy on agreement_party_role.agreement_identifier = policy.policy_identifier
where agreement_party_role.party_role_code = 'AG'
group by party_identifier","SELECT Party_Identifier AS Agent_ID, COUNT(Policy_Identifier) AS Policies_Sold
FROM Agreement_Party_Role 
WHERE Party_Role_Code = 'Agent'
GROUP BY Party_Identifier;","select * from {{
    semantic_layer.query(metrics=['number_of_policies'], 
    group_by=['policy__party_identifier_dim'],
    where=""{{ Dimension('policy__party_role_code') }} = 'AG'""
    )}}","   AGENTID  NOOFPOLICIES
0        2             2","                                                                                                                                                 error
0  INVALID_ARGUMENT: [FlightSQL] SQL compilation error: error line 1 at position 43\ninvalid identifier 'POLICY_IDENTIFIER' (InvalidArgument; Prepare)","   POLICY__PARTY_IDENTIFIER_DIM  NUMBER_OF_POLICIES
0                             2                   2",false,true,,
HQLS: What is the total amount of premiums that a policy holder has paid?,What is the total amount of premiums that a policy holder has paid?,"What is the total amount of
premiums that a policy holder has paid?",1700621730.4004533,2,"select party_identifier, sum(policy_amount)
from agreement_party_role
join policy on agreement_party_role.agreement_identifier = policy.policy_identifier
inner join policy_amount on policy.policy_identifier = policy_amount.policy_identifier
inner join premium on premium.policy_amount_identifier = policy_amount.policy_amount_identifier
where agreement_party_role.party_role_code = 'PH'
group by party_identifier","SELECT SUM(Policy_Amount) AS Total_Premiums_Paid
FROM Premium
JOIN Policy_Amount ON Premium.Policy_Amount_Identifier = Policy_Amount.Policy_Amount_Identifier
JOIN Agreement_Party_Role ON Policy_Amount.Policy_Identifier = Agreement_Party_Role.Agreement_Identifier
WHERE Party_Role_Code = 'PolicyHolder';","select * from {{
    semantic_layer.query(metrics=['total_policy_amount'], 
    where=""{{ Dimension('policy_amount__has_premium') }} = 1 AND {{ Dimension('policy__party_role_code') }} = 'PH'""
    )}}","   PARTY_IDENTIFIER  SUM(POLICY_AMOUNT)
0                 1               98000","   TOTAL_PREMIUMS_PAID
0                  NaN","   TOTAL_POLICY_AMOUNT
0                98000",false,false,"""None of [Index(['PARTY_IDENTIFIER', 'SUM(POLICY_AMOUNT)'], dtype='object')] are in the [columns]""","""['PARTY_IDENTIFIER'] not in index"""
HQLS: What is the total amount of premiums that a policy holder has paid by policy number?,What is the total amount of premiums that a policy holder has paid by policy number?,"What is the total amount of premiums that
a policy holder has paid by policy number?",1700621771.8277347,2,"select party_identifier, policy_number, sum(policy_amount)
from agreement_party_role
join policy on agreement_party_role.agreement_identifier = policy.policy_identifier
inner join policy_amount on policy.policy_identifier = policy_amount.policy_identifier
inner join premium on premium.policy_amount_identifier = policy_amount.policy_amount_identifier
where agreement_party_role.party_role_code = 'PH'
group by party_identifier, policy_number","SELECT Policy.Policy_Number, SUM(Premium.Policy_Amount) AS Total_Premiums_Paid
FROM Policy
INNER JOIN Policy_Amount ON Policy.Policy_Identifier = Policy_Amount.Policy_Identifier
INNER JOIN Premium ON Policy_Amount.Policy_Amount_Identifier = Premium.Policy_Amount_Identifier
GROUP BY Policy.Policy_Number;","select * from {{
    semantic_layer.query(metrics=['total_policy_amount'], 
    group_by=['policy__policy_number', 'policy__party_identifier_dim'],
    where=""{{ Dimension('policy_amount__has_premium') }} = 1 AND {{ Dimension('policy__party_role_code') }} = 'PH'""
    )}}","   PARTY_IDENTIFIER  POLICY_NUMBER  SUM(POLICY_AMOUNT)
0                 1    31003000336               86000
1                 1    31003000337               12000","                                                                                                                                                     error
0  INVALID_ARGUMENT: [FlightSQL] SQL compilation error: error line 1 at position 33\ninvalid identifier 'PREMIUM.POLICY_AMOUNT' (InvalidArgument; Prepare)","   POLICY__PARTY_IDENTIFIER_DIM  POLICY__POLICY_NUMBER  TOTAL_POLICY_AMOUNT
0                             1            31003000336                86000
1                             1            31003000337                12000",false,true,,
HQLS: Policy - Policy Holder,How many policies does each policy holder have by policy holder id?,"How many policies does each
policy holder have by policy holder id?",1700621809.694619,2,"select party_identifier, count( policy.policy_number)  as NoOfPolicies
from agreement_party_role
join policy on agreement_party_role.agreement_identifier = policy.policy_identifier
where agreement_party_role.party_role_code = 'PH'
group by party_identifier","SELECT Party_Identifier, COUNT(Policy_Identifier) as NumberOfPolicies
FROM Agreement_Party_Role
INNER JOIN Policy ON Agreement_Party_Role.Agreement_Identifier = Policy.Policy_Identifier
WHERE Party_Role_Code = 'PolicyHolder'
GROUP BY Party_Identifier;","select * from {{
    semantic_layer.query(metrics=['number_of_policies'], 
    group_by=['policy__party_identifier_dim'],
    where=""{{ Dimension('policy__party_role_code') }} = 'PH'""
    )}}","   PARTY_IDENTIFIER  NOOFPOLICIES
0                 1             2","Empty DataFrame
Columns: [PARTY_IDENTIFIER, NUMBEROFPOLICIES]
Index: []","   POLICY__PARTY_IDENTIFIER_DIM  NUMBER_OF_POLICIES
0                             1                   2",false,true,"""['NOOFPOLICIES'] not in index""",
HQLS: Policy - Coverage - Claim,How many claims have been placed by policy number?,"How many claims have
been placed by policy number?",1700621843.5726938,2,"select policy_number, count(company_claim_number) as NoOfClaims
from 
    policy 
    inner join policy_coverage_detail on policy.policy_identifier = policy_coverage_detail.policy_identifier
    inner join claim_coverage on claim_coverage.policy_coverage_detail_identifier = policy_coverage_detail.policy_coverage_detail_identifier
    inner join claim on claim.claim_identifier = claim_coverage.claim_identifier
group by policy_number","SELECT Policy_Number, COUNT(*) AS Number_of_Claims
FROM Claim
JOIN Policy ON Claim.Claim_Identifier = Policy.Policy_Identifier
GROUP BY Policy_Number;","select * from {{
    semantic_layer.query(metrics=['claims'], 
    group_by=['claim_identifier__policy_number'])
    }}","   POLICY_NUMBER  NOOFCLAIMS
0    31003000336           2","   POLICY_NUMBER  NUMBER_OF_CLAIMS
0    31003000336                 1
1    31003000337                 1","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          error
0  INVALID_ARGUMENT: [FlightSQL] Unable To Satisfy Query Error: Dimensions ['claim_identifier__policy_number'] cannot be resolved for metrics ['claims']. The invalid dimension may not exist, require an ambiguous join (e.g. a join path that can be satisfied in multiple ways), or require a fanout join.\n\nSuggestions for invalid dimension 'claim_identifier__policy_number':\n    ['claim_identifier__company_claim_number',\n     'claim_identifier__company_subclaim_number',\n     'claim_identifier__policy_coverage_detail',\n     'claim_identifier__claim_identifier',\n     'claim_identifier__claim_description',\n     'claim_identifier__claim_open_date__year'] (InvalidArgument; Prepare)",false,false,"""['NOOFCLAIMS'] not in index""",
HQLS: What is the total amount of premiums paid by policy number?,What is the total amount of premiums paid by policy number?,"What is the total amount of
premiums paid by policy number?",1700621873.6030688,2,"select policy_number, sum(policy_amount) as TotalPremiumAmount
from 
    policy 
    inner join policy_amount on policy.policy_identifier = policy_amount.policy_identifier
    inner join premium on premium.policy_amount_identifier = policy_amount.policy_amount_identifier
group by policy_number","SELECT Policy.Policy_Number, SUM(Premium.Policy_Amount) as Total_Premiums_Paid
FROM Policy
JOIN Policy_Amount ON Policy.Policy_Identifier = Policy_Amount.Policy_Identifier
JOIN Premium ON Policy_Amount.Policy_Amount_Identifier = Premium.Policy_Amount_Identifier
GROUP BY Policy.Policy_Number;","select * from {{
    semantic_layer.query(metrics=['total_policy_amount'], 
    group_by=['policy__policy_number'],
    where=""{{ Dimension('policy_amount__has_premium') }} = 1""
    )}}","   POLICY_NUMBER  TOTALPREMIUMAMOUNT
0    31003000336               86000
1    31003000337               12000","                                                                                                                                                     error
0  INVALID_ARGUMENT: [FlightSQL] SQL compilation error: error line 1 at position 33\ninvalid identifier 'PREMIUM.POLICY_AMOUNT' (InvalidArgument; Prepare)","   POLICY__POLICY_NUMBER  TOTAL_POLICY_AMOUNT
0            31003000336                86000
1            31003000337                12000",false,true,,
HQLS: Policy,How many policies do we have?,"How many
policies do we have?",1700621909.3063946,2,"SELECT COUNT(*) AS NoOfPolicy
FROM policy",SELECT COUNT(*) FROM Policy;,"select * from {{
    semantic_layer.query(metrics=['number_of_policies'])
}}","   NOOFPOLICY
0           2","   COUNT(*)
0         2","   NUMBER_OF_POLICIES
0                   2",true,true,,
HQLS: Claim,How many claims do we have?,"How many
claims do we have?",1700621937.1071858,3,"SELECT COUNT(*) AS NoOfClaims
FROM claim",SELECT COUNT(*) FROM Claim;,"select * from {{
    semantic_layer.query(metrics=['claims'])
}}","   NOOFCLAIMS
0           2","   COUNT(*)
0         2","   CLAIMS
0       2",true,true,,
HQLS: Claim - Loss Payment&Loss Reserve,"What is the total loss amounts, which is the sum of loss payment, loss reserve amount by claim number?","What is the total loss amounts, which is the sum
of loss payment, loss reserve amount by claim number?",1700621964.1223974,3,"SELECT
    company_claim_number,
    (ca_lp.claim_amount + ca_lr.claim_amount ) as LossAmount
FROM
    Claim
    inner join claim_amount ca_lp on claim.claim_identifier = ca_lp.claim_identifier
    inner JOIN loss_payment ON ca_lp.claim_amount_identifier = loss_payment.claim_amount_identifier
    inner join claim_amount ca_lr on claim.claim_identifier = ca_lr.claim_identifier
    inner JOIN loss_reserve ON ca_lr.claim_amount_identifier = loss_reserve.claim_amount_identifier
","SELECT Claim.Claim_Identifier, SUM(Loss_Payment.Claim_Amount) + SUM(Loss_Reserve.Claim_Amount) AS Total_Loss_Amounts
FROM Claim
LEFT JOIN Claim_Amount AS Loss_Payment ON Claim.Claim_Identifier = Loss_Payment.Claim_Identifier AND Loss_Payment.Claim_Amount_Identifier IN (SELECT Claim_Amount_Identifier FROM Loss_Payment)
LEFT JOIN Claim_Amount AS Loss_Reserve ON Claim.Claim_Identifier = Loss_Reserve.Claim_Identifier AND Loss_Reserve.Claim_Amount_Identifier IN (SELECT Claim_Amount_Identifier FROM Loss_Reserve)
GROUP BY Claim.Claim_Identifier;","select * from {{
    semantic_layer.query(metrics=['loss_payment_amount', 'loss_reserve_amount', 'total_loss_amount'], 
    group_by=['claim_identifier__company_claim_number'])
    }}","   COMPANY_CLAIM_NUMBER  LOSSAMOUNT
0              12312701        2200
1              12312702        4400","   CLAIM_IDENTIFIER  TOTAL_LOSS_AMOUNTS
0                 1                2200
1                 2                4400","   CLAIM_IDENTIFIER__COMPANY_CLAIM_NUMBER  LOSS_PAYMENT_AMOUNT  LOSS_RESERVE_AMOUNT  TOTAL_LOSS_AMOUNT
0                                12312701                 1200                 1000               2200
1                                12312702                 2300                 2100               4400",false,true,"""['COMPANY_CLAIM_NUMBER'] not in index""",
HQLS: What is the average time to settle a claim by policy number?,What is the average time to settle a claim by policy number?,"What is the average time to
settle a claim by policy number?",1700622011.793798,3,"select policy_number, avg(DATE_DIFF(claim_open_date, claim_close_date, ""day""))
from claim 
inner join claim_coverage on claim.claim_identifier = claim_coverage.claim_identifier
inner join policy_coverage_detail on claim_coverage.policy_coverage_detail_identifier = policy_coverage_detail.policy_coverage_detail_identifier
inner join policy on policy.policy_identifier = policy_coverage_detail.policy_identifier
where claim_close_date IS NOT NULL
group by policy_number
","SELECT Policy.Policy_Number, AVG(DATEDIFF(day, Claim.Claim_Open_Date, Claim.Claim_Close_Date)) as Average_Settlement_Days
FROM Claim 
JOIN Policy_Coverage_Detail ON Claim.Claim_Identifier = Policy_Coverage_Detail.Policy_Coverage_Detail_Identifier
JOIN Policy ON Policy_Coverage_Detail.Policy_Identifier = Policy.Policy_Identifier
WHERE Claim.Claim_Close_Date IS NOT NULL
GROUP BY Policy.Policy_Number;","select * from {{
    semantic_layer.query(metrics=['avg_time_to_settle_claim'], 
    group_by=['policy__policy_number'])
}}","   POLICY_NUMBER  AVG(DATEDIFF(DAY, CLAIM_OPEN_DATE, CLAIM_CLOSE_DATE))
0    31003000336                                               20.5    ","   POLICY_NUMBER AVERAGE_SETTLEMENT_DAYS
0    31003000336               20.500000","                                                                                                                                                                                                                                                                                                                                                                                                                 error
0  INVALID_ARGUMENT: [FlightSQL] Unable To Satisfy Query Error: Dimensions ['policy__policy_number'] cannot be resolved for metrics ['avg_time_to_settle_claim']. The invalid dimension may not exist, require an ambiguous join (e.g. a join path that can be satisfied in multiple ways), or require a fanout join.\n\nSuggestions for invalid dimension 'policy__policy_number':\n    [] (InvalidArgument; Prepare)",true,false,,
HQLS: Policy - Coverage - Premium,What is the average policy size which is the the total amount of premium divided by the number of policies?,"What is the average policy size which is the the
total amount of premium divided by the number of policies?",1700622046.2120285,3,"SELECT
    SUM(policy_amount)/COUNT(DISTINCT policy_number) AS avgPolicySize
FROM
   policy_coverage_detail 
    inner join policy on policy.policy_identifier = policy_coverage_detail.policy_identifier
    inner join policy_amount on policy_coverage_detail.policy_coverage_detail_identifier = policy_amount.policy_coverage_detail_identifier
    inner join premium on premium.policy_amount_identifier = policy_amount.policy_amount_identifier
","SELECT AVG(Total_Premium / Number_Of_Policies) AS Average_Policy_Size
FROM
(
    SELECT SUM(Policy_Amount) AS Total_Premium, COUNT(DISTINCT Policy_Identifier) AS Number_Of_Policies
    FROM Policy_Amount
    INNER JOIN Premium
    ON Policy_Amount.Policy_Amount_Identifier = Premium.Policy_Amount_Identifier
) AS Subquery
","select avg(total_policy_amount / number_of_policies) as average_policy_size from {{
    semantic_layer.query(metrics=['total_policy_amount', 'number_of_policies'])
}}","  AVGPOLICYSIZE
0  49000.000000","  AVERAGE_POLICY_SIZE
0  49000.000000000000","    AVERAGE_POLICY_SIZE
0  2849000.000000000000",true,false,,"""None of [Index(['AVGPOLICYSIZE'], dtype='object')] are in the [columns]"""
HQLS: Policy - Agent,How many policies have agents sold by agent id?,"How many policies have
agents sold by agent id?",1700622085.724862,3,"select  party_identifier as agentid, count(policy.policy_number) as NoOfPolicies
from agreement_party_role
join policy on agreement_party_role.agreement_identifier = policy.policy_identifier
where agreement_party_role.party_role_code = 'AG'
group by party_identifier","SELECT Party_Identifier AS Agent_ID, COUNT(Policy_Identifier) AS Policies_Sold
FROM Agreement_Party_Role
WHERE Party_Role_Code = 'Agent'
GROUP BY Party_Identifier;","select * from {{
    semantic_layer.query(metrics=['number_of_policies'], 
    group_by=['policy__party_identifier_dim'],
    where=""{{ Dimension('policy__party_role_code') }} = 'AG'"")
}}","   AGENTID  NOOFPOLICIES
0        2             2","                                                                                                                                                 error
0  INVALID_ARGUMENT: [FlightSQL] SQL compilation error: error line 1 at position 43\ninvalid identifier 'POLICY_IDENTIFIER' (InvalidArgument; Prepare)","   POLICY__PARTY_IDENTIFIER_DIM  NUMBER_OF_POLICIES
0                             2                   2",false,true,,
HQLS: What is the total amount of premiums that a policy holder has paid?,What is the total amount of premiums that a policy holder has paid?,"What is the total amount of
premiums that a policy holder has paid?",1700622118.1096196,3,"select party_identifier, sum(policy_amount)
from agreement_party_role
join policy on agreement_party_role.agreement_identifier = policy.policy_identifier
inner join policy_amount on policy.policy_identifier = policy_amount.policy_identifier
inner join premium on premium.policy_amount_identifier = policy_amount.policy_amount_identifier
where agreement_party_role.party_role_code = 'PH'
group by party_identifier","SELECT SUM(Policy_Amount) AS Total_Premiums_Paid
FROM Premium
INNER JOIN Policy_Amount ON Premium.Policy_Amount_Identifier = Policy_Amount.Policy_Amount_Identifier
WHERE Amount_Type_Code = 'PREM';","select * from {{
    semantic_layer.query(metrics=['total_policy_amount'], 
    where=""{{ Dimension('policy_amount__has_premium') }} = 1 AND {{ Dimension('policy__party_role_code') }} = 'PH'"")
    }}","   PARTY_IDENTIFIER  SUM(POLICY_AMOUNT)
0                 1               98000","   TOTAL_PREMIUMS_PAID
0                  NaN","   TOTAL_POLICY_AMOUNT
0                98000",false,false,"""None of [Index(['PARTY_IDENTIFIER', 'SUM(POLICY_AMOUNT)'], dtype='object')] are in the [columns]""","""['PARTY_IDENTIFIER'] not in index"""
HQLS: What is the total amount of premiums that a policy holder has paid by policy number?,What is the total amount of premiums that a policy holder has paid by policy number?,"What is the total amount of premiums that
a policy holder has paid by policy number?",1700622154.9073586,3,"select party_identifier, policy_number, sum(policy_amount)
from agreement_party_role
join policy on agreement_party_role.agreement_identifier = policy.policy_identifier
inner join policy_amount on policy.policy_identifier = policy_amount.policy_identifier
inner join premium on premium.policy_amount_identifier = policy_amount.policy_amount_identifier
where agreement_party_role.party_role_code = 'PH'
group by party_identifier, policy_number","SELECT Policy.Policy_Number, SUM(Premium.Policy_Amount) AS Total_Premiums_Paid
FROM Policy
JOIN Policy_Amount ON Policy.Policy_Identifier = Policy_Amount.Policy_Identifier
JOIN Premium ON Policy_Amount.Policy_Amount_Identifier = Premium.Policy_Amount_Identifier
GROUP BY Policy.Policy_Number;","select * from {{
    semantic_layer.query(metrics=['total_policy_amount'], 
    group_by=['policy__policy_number', 'policy__party_identifier_dim'],
    where=""{{ Dimension('policy_amount__has_premium') }} = 1 AND {{ Dimension('policy__party_role_code') }} = 'PH'""
    )}}","   PARTY_IDENTIFIER  POLICY_NUMBER  SUM(POLICY_AMOUNT)
0                 1    31003000336               86000
1                 1    31003000337               12000","                                                                                                                                                     error
0  INVALID_ARGUMENT: [FlightSQL] SQL compilation error: error line 1 at position 33\ninvalid identifier 'PREMIUM.POLICY_AMOUNT' (InvalidArgument; Prepare)","   POLICY__PARTY_IDENTIFIER_DIM  POLICY__POLICY_NUMBER  TOTAL_POLICY_AMOUNT
0                             1            31003000336                86000
1                             1            31003000337                12000",false,true,,
HQLS: Policy - Policy Holder,How many policies does each policy holder have by policy holder id?,"How many policies does each
policy holder have by policy holder id?",1700622192.5717607,3,"select party_identifier, count( policy.policy_number)  as NoOfPolicies
from agreement_party_role
join policy on agreement_party_role.agreement_identifier = policy.policy_identifier
where agreement_party_role.party_role_code = 'PH'
group by party_identifier","SELECT Party_Identifier AS Policy_Holder_ID, COUNT(Policy_Identifier) AS Number_of_Policies
FROM Agreement_Party_Role
GROUP BY Party_Identifier;","select * from {{
    semantic_layer.query(metrics=['number_of_policies'], 
    group_by=['policy__party_identifier_dim'],
    where=""{{ Dimension('policy__party_role_code') }} = 'PH'""
    )}}","   PARTY_IDENTIFIER  NOOFPOLICIES
0                 1             2","                                                                                                                                                 error
0  INVALID_ARGUMENT: [FlightSQL] SQL compilation error: error line 1 at position 51\ninvalid identifier 'POLICY_IDENTIFIER' (InvalidArgument; Prepare)","   POLICY__PARTY_IDENTIFIER_DIM  NUMBER_OF_POLICIES
0                             1                   2",false,true,,
HQLS: Policy - Coverage - Claim,How many claims have been placed by policy number?,"How many claims have
been placed by policy number?",1700622226.500634,3,"select policy_number, count(company_claim_number) as NoOfClaims
from 
    policy 
    inner join policy_coverage_detail on policy.policy_identifier = policy_coverage_detail.policy_identifier
    inner join claim_coverage on claim_coverage.policy_coverage_detail_identifier = policy_coverage_detail.policy_coverage_detail_identifier
    inner join claim on claim.claim_identifier = claim_coverage.claim_identifier
group by policy_number","SELECT Policy_Number, COUNT(*) AS Number_of_Claims
FROM Claim 
JOIN Policy ON Claim.Claim_Identifier = Policy.Policy_Identifier
GROUP BY Policy_Number;","select * from {{
    semantic_layer.query(metrics=['claims'], 
    group_by=['claim_identifier__policy_number'])
}}","   POLICY_NUMBER  NOOFCLAIMS
0    31003000336           2","   POLICY_NUMBER  NUMBER_OF_CLAIMS
0    31003000336                 1
1    31003000337                 1","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          error
0  INVALID_ARGUMENT: [FlightSQL] Unable To Satisfy Query Error: Dimensions ['claim_identifier__policy_number'] cannot be resolved for metrics ['claims']. The invalid dimension may not exist, require an ambiguous join (e.g. a join path that can be satisfied in multiple ways), or require a fanout join.\n\nSuggestions for invalid dimension 'claim_identifier__policy_number':\n    ['claim_identifier__company_claim_number',\n     'claim_identifier__company_subclaim_number',\n     'claim_identifier__policy_coverage_detail',\n     'claim_identifier__claim_identifier',\n     'claim_identifier__claim_description',\n     'claim_identifier__claim_open_date__year'] (InvalidArgument; Prepare)",false,false,"""['NOOFCLAIMS'] not in index""",
HQLS: What is the total amount of premiums paid by policy number?,What is the total amount of premiums paid by policy number?,"What is the total amount of
premiums paid by policy number?",1700622256.5929813,3,"select policy_number, sum(policy_amount) as TotalPremiumAmount
from 
    policy 
    inner join policy_amount on policy.policy_identifier = policy_amount.policy_identifier
    inner join premium on premium.policy_amount_identifier = policy_amount.policy_amount_identifier
group by policy_number","SELECT Policy.Policy_Number, SUM(Premium.Policy_Amount) AS Total_Premiums_Paid
FROM Premium
INNER JOIN Policy_Amount ON Premium.Policy_Amount_Identifier = Policy_Amount.Policy_Amount_Identifier
INNER JOIN Policy ON Policy_Amount.Policy_Identifier = Policy.Policy_Identifier
GROUP BY Policy.Policy_Number;","select * from {{
    semantic_layer.query(metrics=['total_policy_amount'], 
    group_by=['policy__policy_number'],
    where=""{{ Dimension('policy_amount__has_premium') }} = 1""
    )}}","   POLICY_NUMBER  TOTALPREMIUMAMOUNT
0    31003000336               86000
1    31003000337               12000","                                                                                                                                                     error
0  INVALID_ARGUMENT: [FlightSQL] SQL compilation error: error line 1 at position 33\ninvalid identifier 'PREMIUM.POLICY_AMOUNT' (InvalidArgument; Prepare)","   POLICY__POLICY_NUMBER  TOTAL_POLICY_AMOUNT
0            31003000336                86000
1            31003000337                12000",false,true,,
HQLS: Policy,How many policies do we have?,"How many
policies do we have?",1700622293.7305334,3,"SELECT COUNT(*) AS NoOfPolicy
FROM policy",SELECT COUNT(*) FROM Policy;,"select * from {{
    semantic_layer.query(metrics=['number_of_policies'])
}}","   NOOFPOLICY
0           2","   COUNT(*)
0         2","   NUMBER_OF_POLICIES
0                   2",true,true,,
HQLS: Claim,How many claims do we have?,"How many
claims do we have?",1700622321.5275714,4,"SELECT COUNT(*) AS NoOfClaims
FROM claim",SELECT COUNT(*) FROM Claim;,"select * from {{
    semantic_layer.query(metrics=['claims'])
}}","   NOOFCLAIMS
0           2","   COUNT(*)
0         2","   CLAIMS
0       2",true,true,,
